"","X__1"
"884","Maybe I should get something to switch off from! Haha"
"885","Please do"
"886","Like please."
"887","Maybe the Knausgaard 'My Struggle'"
"888","Haha"
"889","You can read that at any time!"
"890","😜"
"891","You free tomorrow night to talk about your iternary?"
"892","Yarp! About half 8 ok?"
"893","It might be more like 9 by the time I've cleared up from dinner...is that ok?"
"894","Sure!"
"895","I am so so excited it's unreal!"
"896","Me too!"
"897","😃😃😃"
"898","Gunna make a nordic Spotify playlist on Tuesday"
"899","That is SUCH a good idea!"
"900","Am bringing my speaks 😄"
"901","😊😊"
"902","Party party!"
"903","🎉"
"904","When you getting Ice Palace?"
"905","😂😂😂❤"
"906","Has your monzo card come?"
"907","Yes! Just need to load some money on it :) do you reckon if I put £250 on it, it will cover it? I'm excited about the new monzo card!"
"908","Should cover it! 😊"
"909","Ok! I've worked out a basic itinerary, it's on the Google maps (but not necessarily in order). Haven't added everything but these are the main things! It's all very do able."
"910","We can play other bits by ear"
"911","Amazing! Thanks Rich. I'm addicted to Duolingo! It's the best thing ever!"
"912","I bought Ice Palace today! I've ready the first part and it's basically a darkish version of Frozen haha!"
"913","That's my expert English Lit analysis... 😜"
"914","Hahaha awww mine still hasn't arrived yet!"
"915","I'm looking forward to a distopian frozen though!"
"916","Let it gooooo!"
"917","Yes Ellie, let it go! 😜"
"918","My Dad just told me that Ryanair are cancelling 150 flights on Friday... Let the fun begin."
"919","Nooooo"
"920","I'm trying to be positive!"
"921","Hoping for the best"
"922","Apparently the triposo app is good :) I'm going to download it!"
"923","Never heard of it but go for it!"
"924","So I feel like I would like to tell someone and you understand! I think I'm slipping up a bit with my recovery tbh, nothing major but I'm skipping meals a little bit the last couple of weeks. It's not like I've lost weight or gotten bad in other ways or anything but this isn't exactly ideal and I know it! I dunno I am going to really go back to making an effort as I had gone back to a less rigid mealplan from a 'you have to eat all these meals' model if that makes sense? Anyway yeah I feel like I just had to say to someone maybe so I'm accountable or something."
"925","I feel really bad though because I know you are struggling and we're obviously about to go away and I don't want it to effect you or worry you! I promise I am going to be really good and hey maybe sticking to something similar to your mealplan will help me when I'm away too."
"926","Fuck it, I'm gunna order a dominos #justdoit"
"927","I am also worried about my drinking habits atm but that's another story!"
"928","Hi rich, thanks so much for your message. I think it's really good to be honest and to tell me. I think it's so easy to skip meals and to tell yourself it's ok because 'xyz but the ED is a sneaky bugger and can use that to fuck up all the hard work you've done getting to stage where you are out of the shit that it created. It can be difficult to remember how bad things were when things are going better but that's almost when you have to be really honest with yourself and get back on track. Don't feel bad at all about telling me. I actually feel in a really good place with the food at the moment - I want to eat because I like it and it's good for me and I've spent so long fucking around with the meal plan and giving myself excuses that I'm bored with it and know where it leads. Let me know what would be helpful whilst we are away. It's probably good for us to eat the same things but it's also good to switch off from it all and for food to be food, like meals just happen and we can be present and enjoy Norway!"
"929","Also be careful with the drinking! I know from my own experience that I drop one behaviour only for another one to pop up and I had to give up drinking in my final year at York because I realised I was using it to block out things and avoid dealing with life (like an alcoholic) and to avoid feeling my feelings. Yet that's just me. You will be you and it's just a case of sitting down and being honest with yourself and how you are using it even when that's really uncomfortable."
"930","It's good to be aware of all this stuff but awareness won't do anything unless you follow it up with action"
"931","So ordering dominoes sounds like just what you need"
"932","Dominos was what I needed!"
"933","Thanks very much for being there! I am glad you are actually feeling good about food atm! Yeah I think that would be good whilst we're away! I am just a bit disappointed with myself as I wanted to be strong for you whilst being away and really I haven't been overly great recently and this is the worst it's been in months really (though it's really not that bad)!"
"934","Yeah the drinking is hard to explain, I just feel like I've needed a drink every night for quite a while, but haven't drunk tonight 😊 The smoking was an issue for me a while back too but I haven't smoked for ages either, I think I was replacing things really!"
"935","Also another note I forget to tell you, I'm coming off my citalopram atm after chatting to the doctor and only just started doing that, don't think it'll effect me but I might be a bit side effecty though I don't know at this point!"
"936","You are actually strongest when you are honest about your vulnerabilities and what you find difficult so don't feel disappointed or feel like you should be a certain way. This is an illness. None of us chose it. It's about accepting that and releasing the notion that we can somehow control things. All we can do is decide each day to make positive choices that we know rationally will help us in the long run. And you've done that today"
"937","True 😊"
"938","The eating disorder is more than just what you do with food. That's just the tip. It's underneath, it's the thought processes and patterns. It's exhausting having to examine them but it also makes you more open to living a really vibrant and exciting life cos it means you break down patterns that would cut you off from experiencing the great things in life"
"939","Like connection with others, empathy, art, nature etc etc"
"940","Makes you really celebrate what being human is all about!"
"941","But you have to feel suffering to get to the good stuff"
"942","☺"
"943","True"
"944","All of this is true"
"945","Thank you!"
"946","It's because I'm basically the Buddha"
"947","Hahahaha"
"948","Ah I see"
"949","Hahahahaha"
"950","🧞‍♂I'm a genie"
"951","Haha No I've got so much to learn but I've also realised I've learnt so much and however shit the last few years/months have been I wouldn't change it for the world because it's what I need!"
"952","Yay! I'll get my dusty lamp out!"
"953","Wow that's kinda how I feel"
"954","It's been crap"
"955","But I've learnt so much about everything"
"956","And overall yeah it has made me experience life differently"
"957","Yeah weird but not weird"
"958","Exactly!"
"959","So do something nice tonight and start again afresh tomorrow :) we always have the power to choose how we react to the day that confronts us!"
"960","I am watching a bollywood film called fight club"
"961","It is awful but what I need haha"
"962","Tomorrow is another day"
"963","Thanks so much for just being there, it so very appreciated you don't even know 😊"
"964","Ahaha brilliant"
"965","And you don't have to thank me - you've been there on countless occasions when I've been having my break downs!"
"966","And I will continue to be there."
"967","This film uses the crazy frog song an awful lot"
"968","Ellie I've just remembered we need to print out our boarding passes there and back or we can get charged by Ryanair"
"969","Because they are absolute tools."
"970","Oh yeah. I'll do it on Saturday night"
"971","I'm out in the day on Saturday so is it ok if you come over a bit later? Maybe at like 7? Xx"
"972","I guess so, I'll sit on my own all day 😜"
"973","Aaaah that makes me feel guilty!"
"974","😞"
"975","I'll be sad and alone all day"
"976","And cold too"
"977","Too much gin!"
"978","I might be a bit hungover tomorrow..."
"979","I'm currently parading round London trying to find a night bus home"
"980","Hahaha"
"981","Norway!"
"982","I am very hungover"
"983","Went to Oktoberfest in Stratford, I feel horrid."
"984","What did you do last night?"
"985","Apparently I missed 6 calls and got 3 voice mails last night, I remember none of that.... I was gone"
"986","Got it. The two things that will sort me out today are a nice long shower and maccies in penge."
"987","My housemate just put a picture of the fjord islands on instagram, they look amazing"
"988","We got cut off! That sounds such a good shout."
"989","And Norway looks absolutely beautiful- I am soooo excited!"
"990","Arfgghh"
"991","There's a bus replacement to Stansted tomorrow..."
"992","Gotta leave even earlier now 😞"
"993","Shiiitttt!"
"994","What time do you reckon we need to leave?!"
"995","Early."
"996","Like how early?"
"997","I'm running really behind schedule!"
"998","Dunno"
"999","I'll look it up"
"1000","I'm checking in to Ryan Air now - will you send me your passport details?"
"1001","I'm looking up stansted too! So is plan to get uber to central London and then bus/train?"
"1002","Yep"
"1003","We are getting the 06:15 bus tomorrow"
"1004","So get an uber at about half 5"
"1005","😴😴😴"
"1006","Haaaa I'm gonna be a WRECK"
"1007","Hehehe 😜"
"1008","Btw - we are going to have to put our main bags into the hold when we arrive at the airport cos i haven't paid for priority cabin bags"
"1009","No"
"1010","No"
"1011","No"
"1012","Yes yes yes"
"1013","Why?"
"1014","Me and my mum have literally just sat down for like an hour and worked out Ryan airs policy"
"1015","And?"
"1016","It hasn't changed in the last month has it?"
"1017","Because I was fine going to Poland"
"1018","Just queued up early"
"1019","Well you read it but basically we have to put it in hold"
"1020","Sorry first picture is blurry"
"1021","That to me sounds like you can bring a bag on!"
"1022","We'll place a bet"
"1023","Yes but only a small one!!!"
"1024","Well I'm placing my bag in the hold"
"1025","Sure beans!"
"1026","But they do that after you've gone through to board"
"1027","And only if they flag your bag as being too big!"
"1028","😛"
"1029","Am on the bus from Bromley!"
"1030","Cool! See you soon!"
"1031","These guys are excellent!!"
"1032","Amazing!"
"1033","His voice!"
"1034","So glad they are good! You're never guess what...Our flat neighbours are playing Toto's Afrika very loudly!"
"1035","Haha so funny!"
"1036","These guys are unbelievably solid"
"1037","You are missing out"
"1038","Best band I've seem for some time"
"1039","On my way home now"
"1040","First half is over"
"1041","You very much missed out there, sorry! Great atmosphere!"
"1042","There's only one toilet and a long queue!"
"1043","Lollll"
"1044","Or this one..."
"1045","Penge"
"1046","""vinn penger"""
"1047","Hahaha"
"1048","That smug grin"
"1049","Haha!"
"1050","Noooo English ones 😞"
"1051","I thought not 😜"
"1052","Rich!!!! Sorry I was asleep when you left...I've just woken up! (Lay in accomplished I guess...) How did you sleep? How is getting back to Birmingham this morning? Hope you are not too tired? A huge huge thank you for an amazing holiday! Thank you for being so great with organising things and for taking responsibility to find our way around - you were very good at putting up with my moodiness (sorry about the journey home and bits of the holiday when I got tired! Hope I wasn't too much of an arse - feeling tired and learning to rest is something that's slightly new to me!). Basically thanks for being very great. Hovedoya! Hope work isn't too hectic today and that you manage to rest up. Alsoooo enjoy playing with your lego tonight. I expect pictures of your husky dog. Ha ha. Thanks for helping me get home last night, sorry I couldn't say bye this morning. I'm so tired I can't even do yoga! Today is going to be very unproductive I think. As Norwegians would say ha en fin dag! Xxxx"
"1053","Ello Ellie! I am very very glad you were asleep to be honest, means you get to have that rest you deserve 😊 You don't HAVE to do yoga every day haha! I'm in Coventry already, gunna make my meeting haha! I slept really well and am feeling ready to go - if I had been feeling awful I probably would still be at yours but I felt great this morning, well rested. Thank you for also organising it and suggesting it! 😄 Bloody hell you weren't an arse, you were as good as gold! And if you get tired that's okay, everyone does, don't even think about it!"
"1054","And you mean høvedoya! 😛 Xxx"
"1055","Oh oops I mean hovedøya"
"1056","Also the last Part of the Ice Palace is really good"
"1057","Haha love this!"
"1058","Does it beat this guy..."
"1059","Ahhhh and I haven't finished ice palace yet! Will do it today :)"
"1060","Never beats him!"
"1061","I am nearly there but not quite"
"1062","I am so so so tired now though it's unbelievable, only got home less than an hour ago 😞"
"1063","Yaaay lego! Rich you must be absolutely exhausted! Please please please get an early night and lots of rest!"
"1064","How did work go today?"
"1065","Ps my parents have been singing your praises all day ha ha"
"1066","Phew I've done all my jobs tonight so yes bed time now, am zonked! Work was good just very long - my ChaGo-K-1 cells weren't too happy I was away though haha!"
"1067","Aww they are such lovely people 😊"
"1068","Next Saturday night we're sending you back to the future!"
"1069","Haha did you finish watching it?"
"1070","I'm unpacking space pack but don't know if I'm ever going to use it again 😞"
"1071","I mean...it's not really my look!"
"1072","Maybe it could be my new one!"
"1073","The irony of receiving an email from Ryan Air asking how my airport experience was! Ha ha"
"1074","Never flying with Ryan Air again!!!"
"1075","Nope didn't finish watching it! Please watch it at some point!"
"1076","Space pack is an icon."
"1077","Yeah I'm never flying Ryan Air again, that was the straw that broke the camals back 😕"
"1078","https://youtu.be/Zs61EodGL-E"
"1079","Hahaha I know it's an advert for a company but made me laugh!"
"1080","Phew!"
"1081","The Nobel Peace Prize has gone to Denis Mukwege and Nadia Murad!"
"1082","For opposing sexual violence focused on a conflict setting"
"1083","Was reading this morning on the guardian that Trump or Kim Jong Un were in the running, would've been pissed if it went to them!"
"1084","That's such good news! A woman and people of diversity!"
"1085","I can't believe that Trump and Kim Jong Un were even nominated - that is a slightly terrifying prospect"
"1086","And so ironic given the current exhibition about nuclear disarmament!"
"1087","Well ironic if they'd won!"
"1088","Shocking nominators"
"1089","Chose one or two..."
"1090","Just talked to a geologist"
"1091","Can confirm that the rocks on hovedøya have slipped"
"1092","👍"
"1093","❤"
"1094","My gosh that's amazing! Well done it looks great!"
"1095","Took me aaaages!"
"1096","I can see why that was hard"
"1097","I bet it took a while"
"1098","Haha yeh! Do you think that I could have an exhibition at the astrup museum! Ha ha"
"1099","I have just put some Oslo photos on Facebook btw!"
"1100","Erm, maybe with some practise... 😜 and some more pieces..."
"1101","Oooo I shall check them out!"
"1102","Haha watch this space...it's the start of something beautiful!"
"1103","You finished Ice Palace yet?"
"1104","Yes! I have finished it! Have you? What did you think?"
"1105","Yep, I enjoyed it and has motivated me to get reading again to relax and not just for work! Definitely a lot to analyse, was so metaphorical but we knew that anyway. I am not sure I understand the woodwind players bit?!"
"1106","What did you think?"
"1107","Haha yeh I was a bit confused with the woodwind players too!"
"1108","I mean I guess you can analyse them in any way you want but I thought they added a kind of weird beauty to the otherwise desolate scenery"
"1109","I thought siss' relationship with the unnamed boy was interesting too!"
"1110","I thought it was interesting how none of the other characters had names other than Siss and Unn. They were just called 'auntie' or 'boy' or 'men'"
"1111","Haha yeah I found all of that interesting as well! I found especially interesting the relationship between Auntie and Siss compared to Mother/father and Siss!"
"1112","It was a pretty interesting take on survivors syndrome"
"1113","Especially as this relationship between Unn and Siss is so short yet intense"
"1114","Also David Bowie news tomorrow on BBC breakfast apparently... Bit odd!"
"1115","Wow I like this scissor thing!"
"1116","Haha what's the David Bowie news?"
"1117","Space Odyssey!"
"1118","I was hoping the Bowie news was that the BBC was announcing that he would rise from the dead but sadly not"
"1119","They are making a new long documentary on his life and also broadcasting his entire Glastonbury set from 2000 (apparently they only broadcast half an hour at the time) and it's iconic apparently"
"1120","Wow!"
"1121","I wana go to Glasto but didn't enter for tickets :("
"1122","Maybe I'll do oxfam stewarding!"
"1123","Oh and I was talking to Maddie last night and she said that all the other Nobel prizes are given out in Stockholm!"
"1124","So that's why there weren't separate museums for those prizes"
"1125","Can't believe this time last week we were in Oslo!"
"1126","Has gone so fast!"
"1127","I tried but yes I failed - think I'll oxfam or try to volunteer for cancer research UK!"
"1128","Yep I did know that!"
"1129","Tell me about it, has gone so quick"
"1130","First day back full time today!"
"1131","Awww good luck! You'll smash it!"
"1132","I'm having fun today so far! Am super motivated for some reason 😃"
"1133","It's vegan week on Bake Off!!"
"1134","OMG 😲 I'm gonna watch it tonight. Exciting times"
"1135","Even more exciting I just made two cups of tea and had them both at once, revolutionary."
"1136","Next week on Bake Off is Nordic week!! 😮"
"1137","Clue is to really read and think about the question, the answer is in the question..."
"1138","Oooo I like this riddle....I feel like the answer should be some sort of invention of some kind - like a steam train or something...?"
"1139","Go space pack go!"
"1140","190 miles of steam train... Try again, and think about buildings. You have one more chance!"
"1141","Here’s a song for you… Red Red Wine by UB40"
"1142","y.com/track/1tOE1dIyIjsfLJWiQ4ZRJW?si=5SwteFRLRK-Ced-PLAW_nQ"
"1143","Listen to this version of Red Red Wine for the best or worst (can't decide) rap you've ever heard"
"1144","Haha I had heard this rap version before! I feel like this is a rap I could get behind!"
"1145","Totz is! Lyrical genius!"
"1146","I have been trying to think of a title for my public talk on cancer - I think 'Cancer - The Mr Hyde To Our Dr Jekyll' is perhaps too pretentious and overkill 😝"
"1147","Lollll"
"1148","Haha I like it! Feel you can inject some culture into the science talk!"
"1149","I'm on my first night out clubbing in like years tonight"
"1150","Woahhh crazy cool!"
"1151","Where you going clubbing? 😮"
"1152","Hahaha just seen your WhatsApp pic! Unicorn!"
"1153","How are you rich?"
"1154","New band I think you'll like..."
"1155","Phosphorescent"
"1156","They are bloody brilliant!"
"1157","Hoho get you with the band suggestions!"
"1158","Good thanks, am at the railway pub quiz lol not done this for years!"
"1159","I'll check um out!"
"1160","As in the railway west wickham!?!"
"1161","Duh"
"1162","What other railway is there?"
"1163","You didn't say where you went clubbing?! Was it good?"
"1164","Went to Heaven!"
"1165","It was gooooood!"
"1166","But my friend made me join tinder!"
"1167","I've been on it for three days! It's sooooo addictive!"
"1168","Oh I see, that makes sense now! Glad you had fun 😊"
"1169","Oh dear... Are you really in a good place for Tinder? I have deleted all my dating apps now and much happier for it!"
"1170","Perhaps but it's also a bit of a downer for guys like me! 😞"
"1171","Listening to phosphorescent, am enjoying so far!"
"1172","They're good right?!"
"1173","Noooo  I'm probably really not in the place for dating but I feel like I've never done this kind of thing so maybe just need to get it out my system"
"1174","So far it's quite good for my self esteem but I know I have to be careful"
"1175","Just treating it as having fun atm"
"1176","And getting into some weird and interesting conversations!"
"1177","Did I tell you about my Christopher Robin conversation on Tinder?"
"1178","Aye"
"1179","Please just be mindful!"
"1180","Amazing! You're in Berlin! So exciting! When do you see bloc party?"
"1181","Saw them Thursday night!"
"1182","Am in an amazing amazing huge reggae club, you would love the vibes here! Dancing alllllll nighttttt"
"1183","And Bloc Party were the best gig I've been to for years, the crowd loved it"
"1184","😄"
"1185","It looks like you're having the best time in Berlin!!!"
"1186","You're doing the nights out and the club scene that we never did!"
"1187","How is Berlin!? Are you doing any more things that we didn't do?"
"1188","Can't hear the sound on this but it looks beautiful! How was Berlin?"
"1189","Soz I was being a bit quiet! WAS AWESOMEEEEEEE"
"1190","We need to boat."
"1191","I am gunna buy a narrow boat instead of a house, decided"
"1192","Rich! Send me your address pleeeeeaaassseee"
"1193","28 Bernard Road, Edgbaston, Birmingham, B17 8LP"
"1194","😊"
"1195","I've been struggling to wake up recently but I've now found the perfect alarm clock... Piers Morgan on Good Morning Britain. He pisses me off so much that I just feel so awake! 😂"
"1196","He was talking about feminism today and about how he is a feminist..."
"1197","Mooooooooooooomins!!! What a great moomin drawing 😊 Thank you so much for the card, I just got in and opened it!! It's lovely! You are lovely! You are 100% right, I really struggled with the calligraphy, I'm glad you translated it 😝 but you are right, I am tough, so are you. I didn't win a poster competition at a conference today but I don't care and don't feel bad because guess what? I'm not perfect, and I don't need to be the best, I am great just as I am! 😊 That dream is crazy cool!! I have never read moomins books, only ever watched the TV show - just listened to the theme tune which brings back memories! I'll give 'um a read!"
"1198","Thanks again, I love getting mail! I never get any! Just gone on BBC News website (bloody Tories) and they have a picture of the 176 hahaha"
"1199","Haha! Yaaaay so glad it arrived! I bet your poster was great and it doesn’t need to be the best! But yes meant every word 😊and I’ll send you more mail! I love writing letters!"
"1200","Eurgh bloody tories- they better not hijack my 176 bus!"
"1201","I know you mean every word 😊 Please do! We both like sending mail and making things hahaha! Don't worry the 176 is safe I think!"
"1202","Here’s a playlist for you… Get with da slå by twocannons"
"1203","y.com/user/twocannons/playlist/4ZUNUFUtQJYmuHxk5E9PM8?si=5ymA6JqASBGO9tfeeEUaKw"
"1204","Hope you’re doing ok today Rich! Did you manage to sleep ok last night?"
"1205","Yeah am still pretty screwed in the head today, decided I'm going back on antidepressants everything was easier when on them and I'm going home for a few days for a break"
"1206","But yeah thanks again for last night! Hopefully it will pass"
"1207","That sounds like a good decision Rich! Go easy on yourself and remember nothing is forever"
"1208","I broke down in tears in front of my supervisor earlier which was a bit embarrassing but nevermind, I think things will improve soon, you are right nothing is forever"
"1209","Did you have your ear review for skydiving btw?"
"1210","How are you doing rich? Yes I went for the ear review - he said that I basically had double the risk that people who don’t have an ear thing have! So hmmm trying to decide!"
"1211","Yeah am alright thanks! Hmmm, well don't put yourself at risk!"
"1212","Soooooo when you looking after ya doggie again? I wanna walky!!"
"1213","Haha this is random! How are you?"
"1214","Merry Christmas Rich! Hope you are having a good day! Would be great to see you over the festive period...I need to give you your present! Sending all the best and lots of festive cheer 🎄"
"1215","Merry Christmas!! Yes hope you're having a lovely day too 😄 Oooh I have a present?! How exciting, thank you! I might be free at the weekend if you are about?"
"1216","Could do Saturday?"
"1217","I'm not sure to be honest, the trains to Victoria are screwed from down here and it's saying 2 and a half hours to get to London?!? 😕"
"1218","Might have to do it when I'm going back to Brum or when I'm back in Brum as it's easier to get to you from there vs here!"
"1219","Ah nooo - what about Friday night?"
"1220","I'm busy the next two Friday evenings! 😕"
"1221","How about Saturday the 5th for a little bit as that's when I'm travelling back to Brum?!"
"1222","Awww noooo i cant make the 5th!"
"1223","Is there no way you can do tomorrow?"
"1224","I'm sorry I can't! 😟🙁"
"1225","Awww booo! We will have to arrange another time!!"
"1226","Instagram?! What's all this about?!"
"1227","I don’t understand it - I had to join it to send a message to someone"
"1228","I thought you were pretty anti it!"
"1229","It's not that bad if you use it properly, I like it personally!"
"1230","What are your plans for new year?"
"1231","Driven to my aunty and Uncles for a family one - enjoy your cool do at Hugos!"
"1232","Happy new year!"
"1233","Happy new year to you too!"
"1234","I'm off to bed!"
"1235","Ellie I had a bad nightmare last night, I dreamt that you had been attacked and weren't very well 😢 Please tell me you are okay in real life?!!"
"1236","Your odd text of the day there"
"1237","Haha oh nooo! That is scary! Don’t worry though - I’m fine! How are you doing?"
"1238","In the real world - not dream world!"
"1239","I'm all the better for knowing you are okay in the real world! 😝"
"1240","Are you free next Saturday at all?"
"1241","I am! Let’s hang out!"
"1242","Woooooo yeah 😃😃"
"1243","Put it in ya diary"
"1244","You are in!"
"1245","In big lttersb"
"1246","Letters"
"1247","I’m a bit drunk on peppercorn gin!"
"1248","Sounds delicious!"
"1249","R I C H"
"1250","Big lttersb"
"1251","I’ve just watched bandersnatch on Netflix."
"1252","I’m actually traumatised"
"1253","Don’t watch it"
"1254","Oh dear! I quite enjoyed it!"
"1255","I'm guessing you didn't do the Netflix ending..."
"1256","I enjoyed how they had done up Croydon town centre!"
"1257","You still free tomorrow?"
"1258","Sorry I've been really busy and haven't had time to work out stuff to do!"
"1259","Hopefully I'll have time tonight"
"1260","Yes still good for tomorrow! I picked up a copy of timeout so will have a look through that - there might be something free and interesting on! How is everything going?"
"1261","Cool! Yeah I was good until about 15 mins ago, just realised my whole PhD is a lie... 😞"
"1262","Oh well what can you do"
"1263","Ok is this being a bit melodramatic?!"
"1264","What do you wana do tomorrow?"
"1265","There’s a festival on at Waltham Forest"
"1266","But it’s quite far..."
"1267","Or there’s a David Bowie walk happening! But it’s quite expensive 😡"
"1268","Orrrr we could go to this wellness festival thing happening at Shoreditch"
"1269","I mean there’s all the options really..."
"1270","Maybe we could meet after 2pm?"
"1271","Sure! 😄"
"1272","Shame the Bowie walk is expensive 😞"
"1273","Yes it is kinda far, what kind of festival though?"
"1274","Again could be fun!"
"1275","I will have a look myself and let you know which thing I think sounds good 😊"
"1276","Yeah the Bowie tour is like £20, toooo much 😟"
"1277","Argghh the Waltham forest thing looks really good! And didn't know there's a William Morris museum there! Think that would be my first choice, it's annoying is so far. I'll look at Shoreditch now haha"
"1278","I'm struggling to find out about Shoreditch?!"
"1279","Could we travel it?!? 😝"
"1280","http://www.trumanbrewery.com/resolutions/"
"1281","I think Waltham Forest is a bit too far..."
"1282","And it’s only for the evening"
"1283","And I’ve got a case I’m working on for this psychologist so can’t be out too late tonight"
"1284","But we could go to Tate modern-they’ve for a hip hop Karoke on haha"
"1285","That sounds funnnn!"
"1286","Ooh fancy"
"1287","Ok so we might have missed the shoreditch festival"
"1288","Hmmm..."
"1289","Don’t know how you feel but I’m pretty tired today....maybe we could do something chill"
"1290","Like go for a massage ha ha"
"1291","Oh my gosh I wana go for a massage so bad now"
"1292","But they will all be super expensive"
"1293","I really don't mind!!"
"1294","I'm up for chill and have never had a massage (properly haha)"
"1295","Where would you go?"
"1296","Hmmm not sure...looking for cheap places now"
"1297","Sorry I have been useless with suggestions today!"
"1298","I have one though"
"1299","Hackney City Farm"
"1300","Donkeys"
"1301","Haha I actually spent the day there on Tuesday lol!"
"1302","I volunteer at a yoga project there"
"1303","No way"
"1304","Hahaha"
"1305","Fair dos"
"1306","It is super nice!"
"1307","You do bloody everything!"
"1308","Go to Abbey Road and ruin tourist photos? 😜"
"1309","I really am useless today hahahaha"
"1310","You’re not useless - there’s like literally nothing on"
"1311","Compared to Brum it's pumping 😝"
"1312","Haha. I’m also still in bed"
"1313","This medication I’m on is making me like proper sleepy"
"1314","YOU ARE STILL IN BED?!"
"1315","Is this Ellie?"
"1316","Am I texting the wrong person?"
"1317","😉"
"1318","I don't mind coming down to yours if you can't be arsed to come up"
"1319","Haha iknr"
"1320","Am literally easy atm!"
"1321","Play a board game?"
"1322","I have got the perfect board game (at my parents 😟)"
"1323","Naaaa I’m good to come wherever! It’s probably good for me to get out the house!"
"1324","I really wanna play my sherlock holmes board game now lol"
"1325","Haha awww that sounds amazing - what game is it!?"
"1326","Okay so how about we go to the Tate modern, see what exhibitions are about there and then play it by ear from there?"
"1327","Would be good to just SEE you"
"1328","It feels like it’s been tooooo long"
"1329","Sounds good 😊"
"1330","👁"
"1331","I've got to say I'm craving a board game or something like that, might see if there's any good board game pubs for after tateY"
"1332","Oops Tate"
"1333","Board games cafe!!!"
"1334","There’s one near Waterloo"
"1335","But it’s like super expensive and I have no money"
"1336","Aha!"
"1337","I have money"
"1338","I don't care"
"1339","Lol"
"1340","I would pay"
"1341","Then I would feel bad ☹"
"1342","Deal with it 😛"
"1343","But I’ve got a job starting on the 18th feb so after then I can take you out"
"1344","Exactly! I know you'll eventually buy me that Ferrari we talked about..."
"1345","https://youtu.be/h66dI0q_9As"
"1346","♥"
"1347","It’s been too long"
"1348","What a song"
"1349","TUNEAGE"
"1350","Oh my gosh I need to listen to that whole album now"
"1351","Shit I've got 2 mins on this WiFi need to get work done!"
"1352","Right I actually need to shower. My room is an absolute tip and I can’t summon the energy to move"
"1353","Ok ok so I’ll probably be able to get to Tate modern at like 2.45pm...is that ok?"
"1354","Oh and can you remind me in the Tate modern shop to get a card and present for my friends bday?"
"1355","Sure!"
"1356","I'll try and remember!"
"1357","Do you think we need to book for board games cafe?"
"1358","I've never been so don't know"
"1359","But guess we might!"
"1360","We had to book like weeks before when I went before hmmmm"
"1361","Just checked and I think it will be unlikely we will be able to get in"
"1362","Yeah I looked too and agree 😭😭"
"1363","I WANNA PLAY BOARD GAMES, WHYYYYY"
"1364","I'm in the Tate's café btw whenever you get here, no rush!"
"1365","Ahhh no...that sucks. Maybe we can give em a ring or something. Cool I’ll come find you. Will be there in about 20 minutes"
"1366","I’m here!"
"1367","There’s a queue to get in!"
"1368","IT'S OFFICIAL, HE'S GONE!!!"
"1369","😄😄😄😄😄😄😄😄😄"
"1370","Thanks for keeping me company today and for moooooooomins!"
"1371","That’s such a relief! Go and celebrate!"
"1372","Thank you for a lovely day! Been so so good to see you 😊"
"1373","🎉 🎉"
"1374","Yes it's been great to see you!! I forgot to say to you, I got Headspace, it's bloody amazing!"
"1375","When do I get my prize?!"
"1376","And Headspace is AWESOME"
"1377","I’m LOVING these crosswords"
"1378","Best Christmas present EVER"
"1379","The third one is super difficult!"
"1380","Oh my goodness, done already?!"
"1381","You are a crossword demon!"
"1382","What does 2 down say here?"
"1383","Here’s a song for you… Looks Are Deceiving by Damian Marley"
"1384","y.com/track/3BkCURiZj3EflNF0zqzURs?si=7uB_XGSkTmG5xYg48XB3WA"
"1385","👍"
"1386","What does it say!!? I can't present you unless I know..."
"1387","Ah well I think initially I thought profess"
"1388","But I don’t think it fits!"
"1389","Nope it doesn't, you need to get it correct!"
"1390","Soooooo"
"1391","If I were to ask you what shoe size you are, what would you reply?"
"1392","Haha that’s so random! I’m a five!"
"1393","Oh that's a shame! 😟"
"1394","If only you were a four!"
"1395","Why?!"
"1396","Is 2 down ‘adores ‘?"
"1397","Nope!"
"1398","https://www.etsy.com/uk/listing/671604097/handpainted-moomin-sneakers"
"1399","I want them!!!!"
"1400","Can I have a extra clue for 2 down?!"
"1401","Especially sexual desire"
"1402","Amorous?"
"1403","Wait that’s 7 letters"
"1404","Arouse?"
"1405","Noo that doesn’t fit either"
"1406","Adores"
"1407","That fits"
"1408","Please let that be it"
"1409","I want my prize 😂😂😂"
"1410","Do you not want 7 letters?"
"1411","😜"
"1412","Tellll meeeer"
"1413","*me"
"1414","Rich I want you to move to London so we can go climbing together - I think you’d really like it!"
"1415","If you are lucky I will!"
"1416","Yeah I'd love to! You just been?!"
"1417","You already know the answer"
